Year,Province,GDP,CPI,Population,Graduations_College,Graduations_University,Total_retail_sales,First_industry,Second_industry,Third_industry,Natural_Population_growth_rate,unemployment_rate
2008,Shanghai,14536.9,105.78257,2140.643464,5.619,7.6945,4577.2,109.4,6215.5,8212.1,2.72,4.2
2008,Yunnan,6016.6,105.69938,4543,4.3474,4.4059,1764.7,1001.9,2476.1,2538.6,6.32,4.21
2008,Neimenggu,6242.4,105.74208,2444.33,4.6597,3.2567,2463,902.9,2555.1,2784.4,4.27,4.1
2008,Beijing,11813.1,105.06181,1771,4.3856,11.6409,4645.5,111.4,2526.7,9175.1,3.42,1.82
2008,Jilin,4834.7,105.1134,2734.21,3.9125,8.9515,2549.2,863.6,1788,2183.2,1.61,3.98
2008,Sichuan,12756.2,105.0725,8138,13.0158,13.0174,4944.8,2139,5766.5,4850.8,2.39,4.57
2008,Tianjin,5182.4,105.40358,1176,4.8496,5.5899,2078.7,116.6,2659.7,2406.1,2.19,3.6
2008,Ningxia,1139.2,108.48096,617.69,0.8896,0.8038,295.4,112.9,558.1,468.2,9.69,4.35
2008,Anhui,9517.7,106.16777,6135,12.4093,8.3682,3045.2,1313.1,4194.5,4010.1,6.45,3.92
2008,Shandong,27106.2,105.29175,9417.23,25.2638,18.1963,10658.8,2876.2,14911.5,9318.5,5.09,3.7
2008,Shanxi,7223,107.19387,3410.64,9.5918,5.8578,2421.1,373.6,4389,2460.5,5.31,3.29
2008,Guangdong,36704.2,105.59726,9893.48,17.9314,13.9332,12986.6,1920.8,18519.4,16264,7.25,2.56
2008,Guangxi,6455.4,107.78253,4816,7.9977,4.4248,2395.8,1422.3,2466,2567.2,8.7,3.75
2008,Xinjiang,4142.5,108.05579,2130.81,2.9649,2.9776,1041.5,646.9,1991.8,1503.8,11.17,3.7
2008,Jiangsu,30945.5,105.36368,7762.482,23.3586,19.3794,9905.1,1988.2,17051.1,11906.2,2.3,3.25
2008,Jiangxi,6934.2,106.04634,4400.1038,13.2473,8.4445,2142,1014.5,3518.8,2400.9,7.91,3.42
2008,Hebei,14200.1,106.1999,6988.82,18.2709,10.1588,4991.1,1956.8,6981.5,5261.8,6.55,3.96
2008,Henan,17735.9,107.03093,9429,20.7471,13.0773,5815.4,2575.8,9713.4,5446.7,4.97,3.4
2008,Zhejiang,21284.6,105.0287,5212.4,12.1513,10.3413,7533.3,1073.3,11512.7,8698.6,4.58,3.49
2008,Hainan,1474.7,106.92515,854.18,2.1134,1.1695,463.2,423.6,412.6,638.5,8.99,3.72
2008,Hubei,11497.5,106.2677,5711,17.8049,15.2073,5109.7,1716,5066.2,4715.2,2.71,4.2
2008,Hunan,11307.4,106.02449,6380,14.7704,10.8347,4222.6,1761.8,4870,4675.6,5.4,4.2
2008,Gansu,3071.7,108.20965,2550.88,4.4543,4.0006,1023.6,391.2,1429.9,1250.5,6.54,3.23
2008,Fujian,10931.8,104.55067,3639,7.8451,6.8803,3866.7,1096.1,5387,4448.7,6.3,3.86
2008,Xizang,398.2,105.7208,292.33,0.3746,0.4685,130,57.6,110.8,229.8,10.3,0
2008,Guizhou,3504.5,107.5886,3595.98,3.444,3.1511,1075.2,522.6,1437.7,1544.2,6.72,3.98
2008,Liaoning,12137.7,104.63714,4315,8.1383,13.0041,5032.4,1215.7,6273.1,4648.9,1.1,3.9
2008,Chongqing,5899.5,105.5714,2839,5.4249,6.2878,2147.1,555.1,2651.8,2692.7,3.8,3.96
2008,Shannxi,7177.8,106.35907,3718,10.3525,11.1173,2317.1,717.5,3666.1,2794.2,4.08,3.91
2008,Qinghai,896.9,110.0865,554.3,0.5471,0.5662,259.7,103.6,350.3,443,8.35,3.8
2008,Heilongjiang,7134.2,105.55505,3825.04,8.0787,9.6422,2928.3,1073.8,3935,2125.4,2.23,4.23
2009,Shanghai,15742.4,99.5921,2210.284128,5.6627,8.4454,5173.2,112.4,6184.8,9445.3,2.7,4.26
2009,Yunnan,6574.4,100.3968,4571,4.8864,4.8173,2051.1,1049.7,2605.4,2919.3,6.08,4.26
2009,Neimenggu,7104.2,99.7349,2458.22,5.9449,3.7224,2855.3,934.9,2916,3253.4,3.96,3.97
2009,Beijing,12900.9,98.4583,1860,4.3203,11.4993,5309.9,116.8,2736.4,10047.7,3.5,1.44
2009,Jilin,5434.8,100.0708,2739.55,5.0024,8.7351,2957.3,888.6,2055.1,2491.1,1.95,3.95
2009,Sichuan,14190.6,100.7951,8185,15.5014,13.0941,5758.7,2160.4,6653.2,5377,2.72,4.34
2009,Tianjin,5709.6,99.0252,1228.16,5.0162,5.8279,2430.8,119.5,2808.7,2781.3,2.6,3.6
2009,Ningxia,1266.7,100.7481,625.2,1.053,0.9755,339.3,120.4,593,553.2,9.68,4.4
